"BANKIA MONETARIO EURO DEUDA (II), FI",4037,27/06/2008,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA RENTA FIJA LARGO PLAZO, FI",397,30/03/1993,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA SMALL & MID CAPS ESPAÑA, FI",186,26/07/1990,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA SOY ASI CAUTO, FI",2303,26/01/2001,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA SOY ASÍ DINAMICO, FI",2304,26/01/2001,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA SOY ASI FLEXIBLE, FI",2251,07/11/2000,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKINTER AHORRO ACTIVOS EURO, FI",3654,16/11/2006,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER BOLSA ESPAÑA, FI",1641,11/11/1998,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER BONOS SOBERANOS LARGO PLAZO, FI",3080,29/12/2004,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER CARTERA PRIVADA AGRESIVA, FI",4921,20/11/2015,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER CARTERA PRIVADA CONSERVADORA, FI",4922,20/11/2015,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER CARTERA PRIVADA DEFENSIVA, FI",4923,20/11/2015,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER CARTERA PRIVADA DINÁMICA, FI",4920,20/11/2015,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER CARTERA PRIVADA MODERADA, FI",4924,20/11/2015,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER DINERO 1, FI",3663,16/11/2006,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER DINERO 2, FI",3673,16/11/2006,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER DINERO 3, FI",3664,16/11/2006,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER DINERO 4, FI",3665,16/11/2006,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
"BANKINTER DIVIDENDO EUROPA, FI",1718,28/01/1999,55,"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.","BANKINTER, S.A."
